sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;EC94;;
OTU_2;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_3;Unclassified;;;;;;
OTU_4;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;;
OTU_5;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_6;Unclassified;;;;;;
OTU_7;Unclassified;;;;;;
OTU_8;Unclassified;;;;;;
OTU_9;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna;
OTU_10;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_11;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus;Nitrosopumilus
OTU_12;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_13;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_14;Unclassified;;;;;;
OTU_15;Unclassified;;;;;;
OTU_16;Unclassified;;;;;;
OTU_17;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;OM182 clade;;
OTU_18;Unclassified;;;;;;
OTU_19;Unclassified;;;;;;
OTU_20;Unclassified;;;;;;
OTU_21;Bacteria;Actinobacteriota;Actinobacteria;PeM15;;;
OTU_22;Unclassified;;;;;;
OTU_23;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Simkaniaceae;;
OTU_24;Unclassified;;;;;;
OTU_25;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus;CC9902
OTU_26;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;
OTU_27;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;uncultured;
OTU_28;Unclassified;;;;;;
OTU_29;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_30;Unclassified;;;;;;
OTU_31;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;;;
OTU_32;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;;;
OTU_33;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;SAR86 clade;;
OTU_34;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;;
OTU_35;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_36;Unclassified;;;;;;
OTU_37;Unclassified;;;;;;
OTU_38;Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;;
OTU_39;Unclassified;;;;;;
OTU_40;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_41;Unclassified;;;;;;
OTU_42;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_43;Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
OTU_44;Unclassified;;;;;;
OTU_45;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_46;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Hahellaceae;Hahella;
OTU_47;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_48;Unclassified;;;;;;
OTU_49;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna;
OTU_50;Unclassified;;;;;;
OTU_51;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_52;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;uncultured;
OTU_53;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_54;Unclassified;;;;;;
OTU_55;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_56;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;
OTU_57;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_58;Unclassified;;;;;;
OTU_59;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_60;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Pseudovibrio;
OTU_61;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_62;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_63;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;
OTU_64;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_65;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium;PCC-6307
OTU_66;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;;
OTU_67;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Salinispira;
OTU_68;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;;;
OTU_69;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;;
OTU_70;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_71;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;Colwellia;
OTU_72;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;;;
OTU_73;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_74;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_75;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;
OTU_76;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;;
OTU_77;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_78;Unclassified;;;;;;
OTU_79;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Endozoicomonadaceae;Endozoicomonas;
OTU_80;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_81;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Psychrobium;
OTU_82;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_83;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_84;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_85;Unclassified;;;;;;
OTU_86;Unclassified;;;;;;
OTU_87;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_88;Unclassified;;;;;;
OTU_89;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
OTU_90;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_91;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;
OTU_92;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;;
OTU_93;Unclassified;;;;;;
OTU_94;Unclassified;;;;;;
OTU_95;Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae;Candidatus;Competibacter
OTU_96;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
OTU_97;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;;
OTU_98;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_99;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_100;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;
OTU_101;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_102;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;
OTU_103;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;uncultured;;
OTU_104;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;Kangiella;
OTU_105;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;;
OTU_106;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas;
OTU_107;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;
OTU_108;Unclassified;;;;;;
OTU_109;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Terasakiella;
OTU_110;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;;
OTU_111;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;;
OTU_112;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_113;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_114;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;;
OTU_115;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;
OTU_116;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
OTU_117;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Prochlorotrichaceae;Prochlorothrix;PCC-9006
OTU_118;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;
OTU_119;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;uncultured;
OTU_120;Bacteria;Planctomycetota;OM190;;;;
OTU_121;Unclassified;;;;;;
OTU_122;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_123;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Halodesulfovibrio;
OTU_124;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_125;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_126;Bacteria;Planctomycetota;OM190;;;;
OTU_127;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_128;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;uncultured;;
OTU_129;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;SZB85;
OTU_130;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;;
OTU_131;Unclassified;;;;;;
OTU_132;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_133;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
OTU_134;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_135;Unclassified;;;;;;
OTU_136;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_137;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_138;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;
OTU_139;Unclassified;;;;;;
OTU_140;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_141;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius;
OTU_142;Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;;
OTU_143;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
OTU_144;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_145;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Limibaculum;
OTU_146;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_147;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Persicirhabdus;
OTU_148;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured;
OTU_149;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;;;
OTU_150;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;;
OTU_151;Unclassified;;;;;;
OTU_152;Bacteria;Planctomycetota;OM190;;;;
OTU_153;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
OTU_154;Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;
OTU_155;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus;Actinomarina
OTU_156;Unclassified;;;;;;
OTU_157;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_158;Unclassified;;;;;;
OTU_159;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Persicirhabdus;
OTU_160;Unclassified;;;;;;
OTU_161;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_162;Unclassified;;;;;;
OTU_163;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_164;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_165;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_166;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
OTU_167;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_168;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_169;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
OTU_170;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Alteromonas;
OTU_171;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_172;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_173;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_174;Unclassified;;;;;;
OTU_175;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;
OTU_176;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_177;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_178;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;uncultured;;
OTU_179;Unclassified;;;;;;
OTU_180;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;;
OTU_181;Bacteria;Myxococcota;Polyangia;;;;
OTU_182;Unclassified;;;;;;
OTU_183;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;CL500-3;
OTU_184;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_185;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_186;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;;
OTU_187;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Thalassolituus;
OTU_188;Unclassified;;;;;;
OTU_189;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_190;Unclassified;;;;;;
OTU_191;Unclassified;;;;;;
OTU_192;Unclassified;;;;;;
OTU_193;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_194;Unclassified;;;;;;
OTU_195;Unclassified;;;;;;
OTU_196;Bacteria;Deferrisomatota;Defferrisomatia;Defferrisomatales;Defferrisomataceae;Deferrisoma;
OTU_197;Unclassified;;;;;;
OTU_198;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;;
OTU_199;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_200;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;;;
OTU_201;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;;;
OTU_202;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_203;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_204;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_205;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;
OTU_206;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
OTU_207;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_208;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_209;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus;
OTU_210;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_211;Unclassified;;;;;;
OTU_212;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;;
OTU_213;Unclassified;;;;;;
OTU_214;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;;
OTU_215;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;
OTU_216;Unclassified;;;;;;
OTU_217;Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;;
OTU_218;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_219;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_220;Unclassified;;;;;;
OTU_221;Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;;
OTU_222;Unclassified;;;;;;
OTU_223;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter;
OTU_224;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;;
OTU_225;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_226;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_227;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_228;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;uncultured;;
OTU_229;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;
OTU_230;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_231;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_232;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_233;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;;
OTU_234;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_235;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;uncultured;
OTU_236;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_237;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
OTU_238;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_239;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_240;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_241;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_242;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Pelagicoccus;
OTU_243;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_244;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;;
OTU_245;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_246;Bacteria;Proteobacteria;Gammaproteobacteria;Piscirickettsiales;Piscirickettsiaceae;Candidatus;Endoecteinascidia
OTU_247;Unclassified;;;;;;
OTU_248;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;SUP05 cluster;
OTU_249;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_250;Bacteria;Chloroflexi;Anaerolineae;SBR1031;;;
OTU_251;Bacteria;Deferrisomatota;Defferrisomatia;Defferrisomatales;Defferrisomataceae;Deferrisoma;
OTU_252;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus;
OTU_253;Unclassified;;;;;;
OTU_254;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_255;Bacteria;Myxococcota;bacteriap25;;;;
OTU_256;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_257;Unclassified;;;;;;
OTU_258;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;Gimesia;
OTU_259;Unclassified;;;;;;
OTU_260;Unclassified;;;;;;
OTU_261;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_262;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Candidatus;Thiobios
OTU_263;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
OTU_264;Unclassified;;;;;;
OTU_265;Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;;;
OTU_266;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;uncultured;
OTU_267;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;uncultured;
OTU_268;Bacteria;NB1-j;;;;;
OTU_269;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;;
OTU_270;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_271;Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;
OTU_272;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_273;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;
OTU_274;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;
OTU_275;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_276;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Luminiphilus;
OTU_277;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;;
OTU_278;Unclassified;;;;;;
OTU_279;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina;
OTU_280;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;;
OTU_281;Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;;;
OTU_282;Unclassified;;;;;;
OTU_283;Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;;
OTU_284;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;;
OTU_285;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_286;Bacteria;Acidobacteriota;Subgroup 22;;;;
OTU_287;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_288;Unclassified;;;;;;
OTU_289;Unclassified;;;;;;
OTU_290;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella;
OTU_291;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;uncultured;;
OTU_292;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;uncultured;
OTU_293;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;Candidatus;Entotheonella
OTU_294;Bacteria;Acidobacteriota;Subgroup 22;;;;
OTU_295;Unclassified;;;;;;
OTU_296;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_297;Unclassified;;;;;;
OTU_298;Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae;Truepera;
OTU_299;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella;
OTU_300;Unclassified;;;;;;
OTU_301;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;;
OTU_302;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa;
OTU_303;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;;;
OTU_304;Unclassified;;;;;;
OTU_305;Unclassified;;;;;;
OTU_306;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;SH-PL14;
OTU_307;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Cerasicoccus;
OTU_308;Unclassified;;;;;;
OTU_309;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_310;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;
OTU_311;Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;uncultured;
OTU_312;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_313;Bacteria;Planctomycetota;OM190;;;;
OTU_314;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_315;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;
OTU_316;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;;
OTU_317;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
