sequence_identifier	Domain	Phylum	Class	Order	Family	Genus
OTU_891	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales		
OTU_892	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Acetoanaerobium
OTU_893	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Maricaulis
OTU_894	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter
OTU_895	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade
OTU_896	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	uncultured
OTU_897	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera
OTU_898	Unclassified					
OTU_899	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
OTU_900	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
OTU_901	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Pseudoclavibacter
OTU_902	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	
OTU_903	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
OTU_904	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	uncultured
OTU_905	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
OTU_906	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
OTU_907	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	
OTU_908	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	
OTU_909	Bacteria					
OTU_910	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	
OTU_911	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	
OTU_912	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	
OTU_913	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9		
OTU_914	Unclassified					
OTU_915	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
OTU_916	Unclassified					
OTU_917	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Kangiella
OTU_918	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
OTU_919	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
OTU_920	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
OTU_921	Unclassified					
OTU_922	Unclassified					
OTU_923	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas
OTU_924	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
OTU_925	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	
OTU_926	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
OTU_927	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade		
OTU_928	Unclassified					
OTU_929	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	
OTU_930	Unclassified					
OTU_931	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
OTU_932	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_933	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Maritalea
OTU_934	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
OTU_935	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353 marine group		
OTU_936	Unclassified					
OTU_937	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_938	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group
OTU_939	Unclassified					
OTU_940	Bacteria	Planctomycetes	OM190			
OTU_941	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
OTU_942	Unclassified					
OTU_943	Bacteria	Planctomycetes	OM190			
OTU_944	Unclassified					
OTU_945	Unclassified					
OTU_946	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	
OTU_947	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales		
OTU_948	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	B1-7BS	
OTU_949	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
OTU_950	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	
OTU_951	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	uncultured
OTU_952	Bacteria	Planctomycetes	OM190			
OTU_953	Unclassified					
OTU_954	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	uncultured
OTU_955	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella
OTU_956	Unclassified					
OTU_957	Unclassified					
OTU_958	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
OTU_959	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales		
OTU_960	Unclassified					
OTU_961	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	Methylotenera
OTU_962	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas
OTU_963	Unclassified					
OTU_964	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
OTU_965	Unclassified					
OTU_966	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	
OTU_967	Unclassified					
OTU_968	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group
OTU_969	Unclassified					
OTU_970	Unclassified					
OTU_971	Unclassified					
OTU_972	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	
OTU_973	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_974	Unclassified					
OTU_975	Unclassified					
OTU_976	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocales Incertae Sedis	Oscillatoria SAG8.92
OTU_977	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
OTU_978	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
OTU_979	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
OTU_980	Bacteria	Planctomycetes	OM190			
OTU_981	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	
OTU_982	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
OTU_983	Bacteria	Proteobacteria	Gammaproteobacteria			
OTU_984	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
OTU_985	Unclassified					
OTU_986	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
OTU_987	Unclassified					
OTU_988	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas
OTU_989	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	
OTU_990	Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	uncultured
OTU_991	Unclassified					
OTU_992	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_993	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	
OTU_994	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	
OTU_995	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gimesiaceae	uncultured
OTU_996	Unclassified					
OTU_997	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_998	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	Planctomicrobium
OTU_999	Unclassified					
OTU_1000	Unclassified					
OTU_1001	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_1002	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	uncultured
OTU_1003	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera
OTU_1004	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
OTU_1005	Unclassified					
OTU_1006	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
OTU_1007	Bacteria	Planctomycetes	OM190			
OTU_1008	Unclassified					
OTU_1009	Bacteria	Planctomycetes	OM190			
OTU_1010	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36		
OTU_1011	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus
OTU_1012	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	
OTU_1013	Unclassified					
OTU_1014	Unclassified					
OTU_1015	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
OTU_1016	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium
OTU_1017	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella
OTU_1018	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter
OTU_1019	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Effusibacillus
OTU_1020	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured
OTU_1021	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1022	Bacteria	Spirochaetes	Leptospirae	Leptospirales	Leptospiraceae	uncultured
OTU_1023	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
OTU_1024	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	
OTU_1025	Unclassified					
OTU_1026	Bacteria	Planctomycetes	Pla3 lineage			
OTU_1027	Bacteria	Acidobacteria	Subgroup 22			
OTU_1028	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	uncultured
OTU_1029	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	
OTU_1030	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_1031	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Algimonas
OTU_1032	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
OTU_1033	Unclassified					
OTU_1034	Unclassified					
OTU_1035	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea
OTU_1036	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	
OTU_1037	Unclassified					
OTU_1038	Bacteria	Planctomycetes	OM190			
OTU_1039	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1040	Unclassified					
OTU_1041	Unclassified					
OTU_1042	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j		
OTU_1043	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	uncultured
OTU_1044	Unclassified					
OTU_1045	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	
OTU_1046	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	uncultured
OTU_1047	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured		
OTU_1048	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5) clade
OTU_1049	Unclassified					
OTU_1050	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured
OTU_1051	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus
OTU_1052	Unclassified					
OTU_1053	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella
OTU_1054	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
OTU_1055	Bacteria	Proteobacteria	Alphaproteobacteria			
OTU_1056	Unclassified					
OTU_1057	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured
OTU_1058	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	uncultured
OTU_1059	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured
OTU_1060	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
OTU_1061	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas
OTU_1062	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_1063	Bacteria	Acidobacteria	Subgroup 22			
OTU_1064	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Costertonia
OTU_1065	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium
OTU_1066	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1067	Bacteria	Planctomycetes	Pla3 lineage			
OTU_1068	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	uncultured
OTU_1069	Bacteria	Planctomycetes	vadinHA49			
OTU_1070	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured		
OTU_1071	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter
OTU_1072	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
OTU_1073	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured
OTU_1074	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
OTU_1075	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	
OTU_1076	Unclassified					
OTU_1077	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Asinibacterium
OTU_1078	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter
OTU_1079	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gimesiaceae	Gimesia
OTU_1080	Unclassified					
OTU_1081	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	
OTU_1082	Bacteria	Proteobacteria	Gammaproteobacteria			
OTU_1083	Unclassified					
OTU_1084	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales		
OTU_1085	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	uncultured
OTU_1086	Unclassified					
OTU_1087	Bacteria	Proteobacteria	Gammaproteobacteria	OM182 clade		
OTU_1088	Unclassified					
OTU_1089	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
OTU_1090	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Family III	Thermoanaerobacterium
OTU_1091	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
OTU_1092	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36		
OTU_1093	Unclassified					
OTU_1094	Bacteria	Nitrospirae	Thermodesulfovibrionia	uncultured		
OTU_1095	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	GWC2-45-44	
OTU_1096	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	
OTU_1097	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	
OTU_1098	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
OTU_1099	Bacteria	Latescibacteria				
OTU_1100	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
OTU_1101	Bacteria	Elusimicrobia	Lineage IIb			
OTU_1102	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum
OTU_1103	Unclassified					
OTU_1104	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Starkeya
OTU_1105	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales		
OTU_1106	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera
OTU_1107	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Hydrogenophilaceae	Thiobacillus
OTU_1108	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
OTU_1109	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatirhabdium
OTU_1110	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
OTU_1111	Unclassified					
OTU_1112	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
OTU_1113	Unclassified					
OTU_1114	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13
OTU_1115	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25	
OTU_1116	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	
OTU_1117	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	
OTU_1118	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus
OTU_1119	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	
OTU_1120	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	
OTU_1121	Bacteria	Nitrospirae	Thermodesulfovibrionia	uncultured		
OTU_1122	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	
OTU_1123	Bacteria	Acidobacteria	Subgroup 6			
OTU_1124	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	
OTU_1125	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured
OTU_1126	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	
OTU_1127	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
OTU_1128	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured
OTU_1129	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter
OTU_1130	Bacteria	Proteobacteria	Gammaproteobacteria	CCM19a		
OTU_1131	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	
OTU_1132	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	
OTU_1133	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1134	Unclassified					
OTU_1135	Unclassified					
OTU_1136	Bacteria	Proteobacteria	Alphaproteobacteria			
OTU_1137	Unclassified					
OTU_1138	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	uncultured
OTU_1139	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Xenococcaceae	
OTU_1140	Unclassified					
OTU_1141	Unclassified					
OTU_1142	Bacteria	Proteobacteria	Gammaproteobacteria	HglApr721		
OTU_1143	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
OTU_1144	Unclassified					
OTU_1145	Unclassified					
OTU_1146	Unclassified					
OTU_1147	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea
OTU_1148	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
OTU_1149	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius
OTU_1150	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	
OTU_1151	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
OTU_1152	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
OTU_1153	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_1154	Bacteria	Cyanobacteria	Oxyphotobacteria	Phormidesmiales	Nodosilineaceae	MBIC10086
OTU_1155	Unclassified					
OTU_1156	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_1157	Unclassified					
OTU_1158	Unclassified					
OTU_1159	Unclassified					
OTU_1160	Bacteria	Bacteroidetes	Bacteroidia			
OTU_1161	Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Granulosicoccus
OTU_1162	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 23
OTU_1163	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_1164	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured
OTU_1165	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
OTU_1166	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_1167	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	
OTU_1168	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade		
OTU_1169	Bacteria	Planctomycetes	OM190			
OTU_1170	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured
OTU_1171	Unclassified					
OTU_1172	Bacteria	Planctomycetes	OM190			
OTU_1173	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
OTU_1174	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_1175	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1176	Unclassified					
OTU_1177	Unclassified					
OTU_1178	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter
OTU_1179	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	
OTU_1180	Unclassified					
OTU_1181	Unclassified					
OTU_1182	Unclassified					
OTU_1183	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella
OTU_1184	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius
OTU_1185	Unclassified					
OTU_1186	Unclassified					
OTU_1187	Bacteria	Planctomycetes	OM190			
OTU_1188	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	
OTU_1189	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
OTU_1190	Unclassified					
OTU_1191	Unclassified					
OTU_1192	Unclassified					
OTU_1193	Bacteria	Planctomycetes	OM190			
OTU_1194	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
OTU_1195	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
OTU_1196	Unclassified					
OTU_1197	Unclassified					
OTU_1198	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
OTU_1199	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum
OTU_1200	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Marinobacteraceae	Marinobacter
OTU_1201	Unclassified					
OTU_1202	Unclassified					
OTU_1203	Unclassified					
OTU_1204	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	
OTU_1205	Unclassified					
OTU_1206	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
OTU_1207	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
OTU_1208	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus
OTU_1209	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
OTU_1210	Unclassified					
OTU_1211	Unclassified					
OTU_1212	Unclassified					
OTU_1213	Unclassified					
OTU_1214	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	
OTU_1215	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis
OTU_1216	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Synechococcales Incertae Sedis	Schizothrix LEGE 07164
OTU_1217	Unclassified					
OTU_1218	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus
OTU_1219	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales		
OTU_1220	Unclassified					
OTU_1221	Unclassified					
OTU_1222	Bacteria	Proteobacteria	Gammaproteobacteria	OM182 clade		
OTU_1223	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter
OTU_1224	Unclassified					
OTU_1225	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
OTU_1226	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_1227	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group
OTU_1228	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Xenococcaceae	uncultured
OTU_1229	Unclassified					
OTU_1230	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group
OTU_1231	Unclassified					
OTU_1232	Unclassified					
OTU_1233	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1234	Unclassified					
OTU_1235	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	
