sequence_identifier;Domain;Phylum;Class;Order;Family;Genus
OTU_1538;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;
OTU_1539;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;
OTU_1540;Unclassified;;;;;
OTU_1541;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;Sedimenticola
OTU_1542;Unclassified;;;;;
OTU_1543;Unclassified;;;;;
OTU_1544;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1545;Unclassified;;;;;
OTU_1546;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1547;Unclassified;;;;;
OTU_1548;Unclassified;;;;;
OTU_1549;Bacteria;Planctomycetota;OM190;;;
OTU_1550;Bacteria;Proteobacteria;Alphaproteobacteria;;;
OTU_1551;Unclassified;;;;;
OTU_1552;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;
OTU_1553;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Litoricolaceae;Litoricola
OTU_1554;Unclassified;;;;;
OTU_1555;Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;uncultured
OTU_1556;Unclassified;;;;;
OTU_1557;Unclassified;;;;;
OTU_1558;Bacteria;Deferrisomatota;Defferrisomatia;Defferrisomatales;Defferrisomataceae;Deferrisoma
OTU_1559;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1560;Unclassified;;;;;
OTU_1561;Unclassified;;;;;
OTU_1562;Unclassified;;;;;
OTU_1563;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;
OTU_1564;Bacteria;Dependentiae;Babeliae;Babeliales;;
OTU_1565;Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes VC2.1 Bac22;;
OTU_1566;Unclassified;;;;;
OTU_1567;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;uncultured
OTU_1568;Unclassified;;;;;
OTU_1569;Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;
OTU_1570;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;
OTU_1571;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;
OTU_1572;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;
OTU_1573;Unclassified;;;;;
OTU_1574;Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42
OTU_1575;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;
OTU_1576;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;
OTU_1577;Unclassified;;;;;
OTU_1578;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Oceanibaculaceae;Oceanibaculum
OTU_1579;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella
OTU_1580;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured
OTU_1581;Bacteria;NB1-j;;;;
OTU_1582;Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;
OTU_1583;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;
OTU_1584;Bacteria;Proteobacteria;Alphaproteobacteria;;;
OTU_1585;Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;
OTU_1586;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus
OTU_1587;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
OTU_1588;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella
OTU_1589;Unclassified;;;;;
OTU_1590;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;OM60(NOR5) clade
OTU_1591;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured
OTU_1592;Bacteria;Planctomycetota;OM190;;;
OTU_1593;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured
OTU_1594;Unclassified;;;;;
OTU_1595;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Owenweeksia
OTU_1596;Bacteria;Proteobacteria;Alphaproteobacteria;;;
OTU_1597;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1598;Unclassified;;;;;
OTU_1599;Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
OTU_1600;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;
OTU_1601;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;
OTU_1602;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
OTU_1603;Unclassified;;;;;
OTU_1604;Unclassified;;;;;
OTU_1605;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;
OTU_1606;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured
OTU_1607;Unclassified;;;;;
OTU_1608;Unclassified;;;;;
OTU_1609;Unclassified;;;;;
OTU_1610;Unclassified;;;;;
OTU_1611;Unclassified;;;;;
OTU_1612;Bacteria;;;;;
OTU_1613;Unclassified;;;;;
OTU_1614;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured
OTU_1615;Unclassified;;;;;
OTU_1616;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;
OTU_1617;Bacteria;Proteobacteria;Alphaproteobacteria;;;
OTU_1618;Unclassified;;;;;
OTU_1619;Unclassified;;;;;
OTU_1620;Unclassified;;;;;
OTU_1621;Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;;
OTU_1622;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;
OTU_1623;Unclassified;;;;;
OTU_1624;Bacteria;NB1-j;;;;
OTU_1625;Unclassified;;;;;
OTU_1626;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;OM182 clade;
OTU_1627;Bacteria;Planctomycetota;OM190;;;
OTU_1628;Unclassified;;;;;
OTU_1629;Unclassified;;;;;
OTU_1630;Unclassified;;;;;
OTU_1631;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;
OTU_1632;Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;[Caedibacter] taeniospiralis group
OTU_1633;Unclassified;;;;;
OTU_1634;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured
OTU_1635;Unclassified;;;;;
OTU_1636;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;
OTU_1637;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;
OTU_1638;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured
OTU_1639;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group
OTU_1640;Unclassified;;;;;
OTU_1641;Unclassified;;;;;
OTU_1642;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum
OTU_1643;Unclassified;;;;;
OTU_1644;Bacteria;Planctomycetota;OM190;;;
OTU_1645;Bacteria;Planctomycetota;OM190;;;
OTU_1646;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;
OTU_1647;Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42
OTU_1648;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;
OTU_1649;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;
OTU_1650;Unclassified;;;;;
OTU_1651;Unclassified;;;;;
OTU_1652;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage
OTU_1653;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;
OTU_1654;Bacteria;Myxococcota;Polyangia;Polyangiales;Eel-36e1D6;
OTU_1655;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;
OTU_1656;Bacteria;Proteobacteria;Gammaproteobacteria;EPR3968-O8a-Bc78;;
OTU_1657;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;
OTU_1658;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus
OTU_1659;Unclassified;;;;;
OTU_1660;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina
OTU_1661;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;
OTU_1662;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured
OTU_1663;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;
OTU_1664;Unclassified;;;;;
OTU_1665;Unclassified;;;;;
OTU_1666;Unclassified;;;;;
OTU_1667;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured
OTU_1668;Unclassified;;;;;
OTU_1669;Unclassified;;;;;
OTU_1670;Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus
OTU_1671;Unclassified;;;;;
OTU_1672;Unclassified;;;;;
OTU_1673;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured
OTU_1674;Unclassified;;;;;
OTU_1675;Unclassified;;;;;
OTU_1676;Unclassified;;;;;
OTU_1677;Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes VC2.1 Bac22;;
OTU_1678;Unclassified;;;;;
OTU_1679;Unclassified;;;;;
OTU_1680;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1681;Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;
OTU_1682;Unclassified;;;;;
OTU_1683;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter
OTU_1684;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
OTU_1685;Unclassified;;;;;
OTU_1686;Unclassified;;;;;
OTU_1687;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1688;Unclassified;;;;;
OTU_1689;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium
OTU_1690;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1691;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured
OTU_1692;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Bauldia
OTU_1693;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade
OTU_1694;Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;;
OTU_1695;Bacteria;Planctomycetota;OM190;;;
OTU_1696;Unclassified;;;;;
OTU_1697;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;
OTU_1698;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured
OTU_1699;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;
OTU_1700;Unclassified;;;;;
OTU_1701;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;
OTU_1702;Bacteria;NB1-j;;;;
OTU_1703;Unclassified;;;;;
OTU_1704;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;
OTU_1705;Unclassified;;;;;
OTU_1706;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;
OTU_1707;Unclassified;;;;;
OTU_1708;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured
OTU_1709;Unclassified;;;;;
OTU_1710;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade
OTU_1711;Unclassified;;;;;
OTU_1712;Unclassified;;;;;
OTU_1713;Bacteria;Planctomycetota;OM190;;;
OTU_1714;Unclassified;;;;;
OTU_1715;Unclassified;;;;;
OTU_1716;Bacteria;Acidobacteriota;Subgroup 22;;;
OTU_1717;Unclassified;;;;;
OTU_1718;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;
OTU_1719;Bacteria;Planctomycetota;OM190;;;
OTU_1720;Bacteria;Planctomycetota;Pla3 lineage;;;
OTU_1721;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;
OTU_1722;Unclassified;;;;;
OTU_1723;Unclassified;;;;;
OTU_1724;Unclassified;;;;;
OTU_1725;Unclassified;;;;;
OTU_1726;Bacteria;PAUC34f;;;;
OTU_1727;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
OTU_1728;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured
OTU_1729;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1730;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus
OTU_1731;Bacteria;Planctomycetota;Pla3 lineage;;;
OTU_1732;Unclassified;;;;;
OTU_1733;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1734;Unclassified;;;;;
OTU_1735;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured
OTU_1736;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;
OTU_1737;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;
OTU_1738;Unclassified;;;;;
OTU_1739;Bacteria;Planctomycetota;OM190;;;
OTU_1740;Bacteria;Sumerlaeota;Sumerlaeia;uncultured;;
OTU_1741;Bacteria;;;;;
OTU_1742;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured
OTU_1743;Unclassified;;;;;
OTU_1744;Unclassified;;;;;
OTU_1745;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1746;Unclassified;;;;;
OTU_1747;Unclassified;;;;;
OTU_1748;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;
OTU_1749;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Limibaculum
OTU_1750;Unclassified;;;;;
OTU_1751;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;
OTU_1752;Unclassified;;;;;
OTU_1753;Unclassified;;;;;
OTU_1754;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
OTU_1755;Bacteria;Planctomycetota;OM190;;;
OTU_1756;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured
OTU_1757;Unclassified;;;;;
OTU_1758;Unclassified;;;;;
OTU_1759;Bacteria;Planctomycetota;Pla3 lineage;;;
OTU_1760;Unclassified;;;;;
OTU_1761;Unclassified;;;;;
OTU_1762;Unclassified;;;;;
OTU_1763;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured
OTU_1764;Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus
OTU_1765;Unclassified;;;;;
OTU_1766;Unclassified;;;;;
OTU_1767;Unclassified;;;;;
OTU_1768;Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;endosymbionts
OTU_1769;Bacteria;Planctomycetota;OM190;;;
OTU_1770;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured
OTU_1771;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula
OTU_1772;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1773;Unclassified;;;;;
OTU_1774;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;
OTU_1775;Bacteria;Planctomycetota;vadinHA49;;;
OTU_1776;Unclassified;;;;;
OTU_1777;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Limibaculum
OTU_1778;Bacteria;Planctomycetota;OM190;;;
OTU_1779;Unclassified;;;;;
OTU_1780;Unclassified;;;;;
OTU_1781;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1782;Unclassified;;;;;
OTU_1783;Bacteria;Acidobacteriota;Subgroup 26;;;
OTU_1784;Bacteria;Planctomycetota;Pla3 lineage;;;
OTU_1785;Bacteria;SAR324 clade(Marine group B);;;;
OTU_1786;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;
OTU_1787;Unclassified;;;;;
OTU_1788;Bacteria;Planctomycetota;OM190;;;
OTU_1789;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fabibacter
OTU_1790;Unclassified;;;;;
OTU_1791;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured
OTU_1792;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1793;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;FS142-36B-02
OTU_1794;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1795;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;
OTU_1796;Unclassified;;;;;
OTU_1797;Unclassified;;;;;
OTU_1798;Unclassified;;;;;
OTU_1799;Unclassified;;;;;
OTU_1800;Unclassified;;;;;
OTU_1801;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium
OTU_1802;Unclassified;;;;;
OTU_1803;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage
OTU_1804;Unclassified;;;;;
OTU_1805;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;
OTU_1806;Unclassified;;;;;
OTU_1807;Bacteria;Planctomycetota;Pla4 lineage;;;
OTU_1808;Bacteria;Proteobacteria;Gammaproteobacteria;Tenderiales;Tenderiaceae;Candidatus Tenderia
OTU_1809;Unclassified;;;;;
OTU_1810;Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;;
OTU_1811;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured
OTU_1812;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1813;Unclassified;;;;;
OTU_1814;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured
OTU_1815;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured
OTU_1816;Unclassified;;;;;
OTU_1817;Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;;
OTU_1818;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1819;Unclassified;;;;;
OTU_1820;Unclassified;;;;;
OTU_1821;Unclassified;;;;;
OTU_1822;Unclassified;;;;;
OTU_1823;Unclassified;;;;;
OTU_1824;Unclassified;;;;;
OTU_1825;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula
OTU_1826;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1827;Unclassified;;;;;
OTU_1828;Unclassified;;;;;
OTU_1829;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Verruc-01
OTU_1830;Unclassified;;;;;
OTU_1831;Unclassified;;;;;
OTU_1832;Unclassified;;;;;
OTU_1833;Bacteria;Planctomycetota;Phycisphaerae;CCM11a;;
OTU_1834;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage
OTU_1835;Unclassified;;;;;
OTU_1836;Unclassified;;;;;
OTU_1837;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured
OTU_1838;Unclassified;;;;;
OTU_1839;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1840;Unclassified;;;;;
OTU_1841;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured
OTU_1842;Bacteria;Acidobacteriota;Subgroup 26;;;
OTU_1843;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;
OTU_1844;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;
OTU_1845;Unclassified;;;;;
OTU_1846;Bacteria;Deferrisomatota;Defferrisomatia;Defferrisomatales;Defferrisomataceae;Deferrisoma
OTU_1847;Unclassified;;;;;
OTU_1848;Bacteria;Planctomycetota;Pla4 lineage;;;
OTU_1849;Unclassified;;;;;
OTU_1850;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured
OTU_1851;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;uncultured
OTU_1852;Unclassified;;;;;
OTU_1853;Unclassified;;;;;
OTU_1854;Unclassified;;;;;
OTU_1855;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured
OTU_1856;Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;;
OTU_1857;Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;;
OTU_1858;Unclassified;;;;;
OTU_1859;Unclassified;;;;;
OTU_1860;Unclassified;;;;;
OTU_1861;Unclassified;;;;;
OTU_1862;Unclassified;;;;;
OTU_1863;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;
OTU_1864;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinus
OTU_1865;Unclassified;;;;;
OTU_1866;Unclassified;;;;;
OTU_1867;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula
OTU_1868;Unclassified;;;;;
OTU_1869;Unclassified;;;;;
OTU_1870;Unclassified;;;;;
OTU_1871;Unclassified;;;;;
OTU_1872;Unclassified;;;;;
OTU_1873;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured
OTU_1874;Bacteria;Planctomycetota;OM190;;;
OTU_1875;Unclassified;;;;;
OTU_1876;Bacteria;Planctomycetota;OM190;;;
OTU_1877;Unclassified;;;;;
OTU_1878;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;
OTU_1879;Unclassified;;;;;
OTU_1880;Unclassified;;;;;
OTU_1881;Unclassified;;;;;
OTU_1882;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;uncultured
OTU_1883;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Sva0081 sediment group
OTU_1884;Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus
OTU_1885;Unclassified;;;;;
OTU_1886;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Limibaculum
OTU_1887;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jhaorihella
OTU_1888;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured
OTU_1889;Unclassified;;;;;
OTU_1890;Unclassified;;;;;
OTU_1891;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;
OTU_1892;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Lentimonas
OTU_1893;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus
OTU_1894;Unclassified;;;;;
OTU_1895;Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;uncultured
OTU_1896;Unclassified;;;;;
OTU_1897;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured
OTU_1898;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;
OTU_1899;Unclassified;;;;;
OTU_1900;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;
OTU_1901;Unclassified;;;;;
OTU_1902;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Cerasicoccus
OTU_1903;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;
OTU_1904;Unclassified;;;;;
OTU_1905;Unclassified;;;;;
OTU_1906;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;
OTU_1907;Unclassified;;;;;
OTU_1908;Unclassified;;;;;
OTU_1909;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1910;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1911;Unclassified;;;;;
OTU_1912;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade
OTU_1913;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Crocinitomix
OTU_1914;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Edaphobaculum
OTU_1915;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Candidatus Thiobios
OTU_1916;Unclassified;;;;;
OTU_1917;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix
OTU_1918;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;
OTU_1919;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;
OTU_1920;Bacteria;Planctomycetota;OM190;;;
OTU_1921;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1922;Bacteria;Verrucomicrobiota;Lentisphaeria;Lentisphaerales;Lentisphaeraceae;Lentisphaera
OTU_1923;Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;R76-B128
OTU_1924;Unclassified;;;;;
OTU_1925;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Robiginitalea
OTU_1926;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1927;Bacteria;Planctomycetota;OM190;;;
OTU_1928;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1929;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured
OTU_1930;Unclassified;;;;;
